OBJECTID,DATE,Allegany,Anne_Arundel,Baltimore,Baltimore_City,Calvert,Caroline,Carroll,Cecil,Charles,Dorchester,Frederick,Garrett,Harford,Howard,Kent,Montgomery,Prince_Georges,Queen_Annes,Somerset,St_Marys,Talbot,Washington,Wicomico,Worcester,Unknown
266,2020/12/05 10:00:00+00,3933,17958,31077,25952,1705,1039,3594,2347,4666,1061,7577,943,6519,8719,500,35538,43635,1191,1151,2335,872,4890,3619,1563,0
267,2020/12/06 10:00:00+00,4071,18193,31416,26194,1724,1047,3681,2391,4717,1085,7719,976,6574,8813,507,35998,44057,1205,1171,2395,880,4991,3640,1582,0
268,2020/12/07 10:00:00+00,4101,18429,31708,26419,1746,1065,3728,2435,4752,1085,7852,999,6634,8912,510,36449,44402,1222,1183,2419,892,5111,3681,1595,0
269,2020/12/08 10:00:00+00,4204,18646,32014,26593,1766,1086,3796,2514,4804,1091,7952,1024,6704,9004,513,36851,44894,1236,1351,2486,904,5190,3725,1613,0
270,2020/12/09 10:00:00+00,4321,18914,32387,26897,1801,1090,3843,2598,4886,1098,8074,1058,6769,9124,515,37194,45345,1250,1372,2539,910,5288,3747,1633,0
271,2020/12/10 10:00:00+00,4378,19255,32853,27197,1812,1104,3882,2644,4945,1129,8226,1095,6904,9280,523,37738,45871,1277,1380,2572,922,5425,3796,1647,0
272,2020/12/11 10:00:00+00,4441,19547,33125,27464,1822,1130,3934,2674,4994,1135,8363,1116,6978,9388,533,38190,46335,1315,1391,2608,931,5572,3824,1661,0
273,2020/12/12 10:00:00+00,4590,19866,33539,27796,1849,1148,4056,2785,5070,1152,8550,1146,7096,9536,550,38812,46877,1337,1411,2665,947,5679,3868,1684,0
274,2020/12/13 10:00:00+00,4612,20171,33850,28046,1867,1156,4140,2820,5142,1164,8687,1153,7192,9633,562,39316,47288,1346,1426,2686,959,5804,3921,1706,0
275,2020/12/14 10:00:00+00,4629,20389,34109,28270,1893,1171,4197,2868,5183,1175,8820,1161,7256,9711,575,39721,47682,1365,1429,2730,966,5974,3960,1727,0
276,2020/12/15 10:00:00+00,4737,20548,34407,28407,1916,1182,4260,2923,5234,1177,8966,1169,7357,9783,583,40062,48232,1368,1488,2765,972,6088,3990,1748,0
277,2020/12/16 10:00:00+00,4848,20730,34702,28586,1924,1187,4310,2948,5289,1182,9081,1227,7442,9855,589,40500,48718,1378,1504,2789,975,6213,4018,1772,0
278,2020/12/17 10:00:00+00,4919,20941,35002,28853,1939,1190,4410,2984,5322,1194,9241,1244,7514,9912,594,40747,49068,1386,1520,2827,986,6350,4054,1787,0
279,2020/12/18 10:00:00+00,4983,21223,35283,29020,1968,1195,4468,3024,5383,1212,9380,1258,7590,10027,613,41172,49565,1406,1549,2867,999,6457,4095,1816,0
280,2020/12/19 10:00:00+00,5006,21455,35531,29156,1975,1205,4540,3091,5445,1224,9516,1291,7651,10116,621,41486,49982,1438,1575,2883,1009,6582,4134,1842,0
281,2020/12/20 10:00:00+00,5050,21674,35819,29331,1994,1215,4594,3146,5492,1257,9613,1306,7750,10196,630,41780,50319,1449,1577,2923,1018,6628,4184,1863,0
282,2020/12/21 10:00:00+00,5071,21924,36058,29578,2015,1218,4641,3193,5535,1266,9763,1312,7826,10284,646,42171,50643,1462,1579,2946,1030,6799,4233,1880,0
283,2020/12/22 10:00:00+00,5123,22120,36334,29865,2032,1231,4705,3256,5592,1281,9876,1325,7911,10370,661,42551,51006,1478,1617,2958,1046,6885,4271,1903,0
284,2020/12/23 10:00:00+00,5172,22366,36582,30080,2055,1232,4763,3270,5664,1290,10065,1339,7979,10463,664,42975,51462,1495,1630,2982,1055,7024,4319,1936,0
