FY ,Project Name,Project Address,Project City,Project Zip,Project County,Units,ProjectType
2016,Bel Park,3800 West Belvidere Avenue,Baltimore,21215,Baltimore City,253,Rehab
2016,Lakeview Tower,717 Druid Park Lake Drive,Baltimore,21217,Baltimore City,302,Rehab
2016,Hollins House,1010 W. Baltimore Street,Baltimore,21223,Baltimore City,130,Rehab
2016,St. Katherine's,,Baltimore,21213,Baltimore City,23,Rehab
2016,Bladensburg Commons,4200 58th Street,Bladensburg,20710,Prince George's,100,New
2016,East Baltimore Historic - Phase II,1601 E. Preston Street,Baltimore,21213,Baltimore City,40,Rehab
2016,Wyman House Apartments,123 W. 29th Street,Baltimore,21218,Baltimore City,175,Rehab
2016,Tabco Towers Apartments,305 E. Joppa Rd.,Baltimore,21286,Baltimore,200,Rehab
2016,The Brentwood,401 East 25th Street,Baltimore,21218,Baltimore City,150,Rehab
2016,Booth Street Apartments Phase I,901-921 Booth Street,Salisbury,21801,Wicomico,84,New
2016,Brinkley Hill,Brinkley Road and Fisher Road,Temple Hills,20748,Prince George's,64,New
2016,Sinclair Way,350 West Patrick Street,Frederick,21701,Frederick,71,New
2016,Waverly House Apartments,4521 East West Highway,Bethesda,20814,Montgomery,156,Rehab
2016,North Barclay Green Phase III,2000 Greenmount Avenue,Baltimore,21218,Baltimore City,57,Rehab
2016,EHM at Harwood,423 Whitridge Ave. & 452 E. Lorraine Ave.,Baltimore,21218,Baltimore City,6,Rehab
2016,Arcola Towers,1135 University Boulevard West,Silver Spring,20902,Montgomery,141,Rehab
2016,Bay Terrace Apartments,517 Bay Street,Berlin,21811,Worcester,32,Rehab
2016,Primrose Place Apartments,820 S Caton Avenue,Baltimore,21229,Baltimore City,125,Rehab
2016,Rainier Manor Phase II,3201 Buchanan Street,Mount Rainier,20712,Prince George's,57,New
2016,Riverwoods at Denton,512 Fleetwood Road,Denton,21629,Caroline,84,Rehab
2016,Arnold Gardens,2521 Ewing Avenue,Suitland,20746,Prince George's,68,Rehab
2016,Gaudenzia at Park Heights,,Baltimore,21075,Baltimore City,39,Rehab
2016,Franklin Lofts & Flats,20 E. Franklin Street,Baltimore,21202,Baltimore City,41,Rehab
2016,Orchard Ridge Rental Phase V,4325-4329 Orchard Ridge Blvd.,Baltimore,21213,Baltimore City,65,New
2016,Sunshine Village,22 Bradley Court,Pocomoke City,21851,Worcester,52,Rehab
2016,Guilford Road DRC/SEA,,Jessup,20794,Howard,35,New
2016,Forest Glen Apartments,9920 Georgia Ave,Silver Spring,20902,Montgomery,72,Rehab
2016,Hillbrooke Towers,515 Thayer Avenue,Silver Spring,20910,Montgomery,55,Rehab
2016,Hillwood Manor Apartments,1100 Linden Avenue,Takoma Park,20912,Montgomery,96,Rehab
2016,Calvin Mowbray& Stephen Camper Park,700 Weaver Avenue,Cambridge,21613,Dorchester,190,Rehab
2020,McCleary Hill I,W Washington St,Hagerstown,21740,Washington,68,New
2020,Woodlands at Reid Temple,11600 Glenn Dale Blvd,Glenn Dale,20769,Prince George's,252,New
2020,Orchard Mews,514 Orchard Street,Baltimore,21201,Baltimore City,101,Acq/Rehab
2020,Marshall Gardens,1700-1800  Division Street,Baltimore,21217,Baltimore City,90,New
2020,Magnolia Greene,13000 Winchester Pike,Lavale,21502,Allegany,40,New
2020,Elizabeth House III Apartments,1315 Apple Ave,Silver Spring,20910,Montgomery,267,New
2020,Carrolltowne Village,6500 Carrolltowne Village Dr,Eldersburg,21784,Carroll,38,New
2020,Ivy Hills Townhouses & Apts,100-140 & 101-121 Ohio St,Havre De Grace,21078,Harford,37,New
